更新时间,#genre#
2026-01-31 00:58:15,#genre#

央视频道,#genre#
天津卫视,http://115.171.216.84:4000/rtp/225.1.8.48:8044
天津卫视,http://183.220.107.138:4022/rtp/239.11.0.192:5140
天津卫视,http://183.220.107.138:4022/rtp/239.11.0.123:5140
安徽卫视,http://223.93.142.35:4022/rtp/233.50.201.113:5140
安徽卫视,http://223.93.142.35:4022/rtp/233.50.200.106:5140
安徽卫视,http://171.122.196.44:8085/rtp/226.0.2.145:9072
安徽卫视,http://115.171.216.84:4000/rtp/225.1.8.52:8064
安徽卫视,http://183.220.107.138:4022/rtp/239.11.0.117:5140
山东卫视,http://223.93.142.35:4022/rtp/233.50.201.105:5140
山东卫视,http://223.93.142.35:4022/rtp/233.50.200.127:5140
山东卫视,http://171.122.196.44:8085/rtp/226.0.2.149:9104
山东卫视,http://115.171.216.84:4000/rtp/225.1.8.50:8052
山东卫视,http://183.220.107.138:4022/rtp/239.11.0.73:5140
辽宁卫视,http://223.93.142.35:4022/rtp/233.50.200.129:5140
辽宁卫视,http://223.93.142.35:4022/rtp/233.50.201.141:5140
辽宁卫视,http://223.93.142.35:4022/rtp/233.50.200.173:5140
辽宁卫视,http://171.122.196.44:8085/rtp/226.0.2.173:9296
辽宁卫视,http://115.171.216.84:4000/rtp/225.1.8.51:8056
辽宁卫视,http://183.220.107.138:4022/rtp/239.11.0.118:5140
黑龙江卫视,http://223.93.142.35:4022/rtp/233.50.200.189:5140
黑龙江卫视,http://223.93.142.35:4022/rtp/233.50.201.115:5140
黑龙江卫视,http://171.122.196.44:8085/rtp/226.0.2.151:9120
黑龙江卫视,http://115.171.216.84:4000/rtp/225.1.8.42:8016
黑龙江卫视,http://183.220.107.138:4022/rtp/239.11.0.36:5140
吉林卫视,http://223.93.142.35:4022/rtp/233.50.200.164:5140
吉林卫视,http://223.93.142.35:4022/rtp/233.50.202.42:5140
吉林卫视,http://171.122.196.44:8085/rtp/226.0.2.199:9504
吉林卫视,http://183.220.107.138:4022/rtp/239.11.0.35:5140
内蒙古卫视,http://183.220.107.138:4022/rtp/239.11.0.33:5140
宁夏卫视,http://223.93.142.35:4022/rtp/233.50.202.45:5140
宁夏卫视,http://183.220.107.138:4022/rtp/239.11.0.57:5140
山西卫视,http://171.122.196.44:8085/rtp/226.0.2.152:9128
山西卫视,http://171.122.196.44:8085/rtp/226.0.2.11:8000
山西卫视,http://183.220.107.138:4022/rtp/239.11.0.32:5140
陕西卫视,http://183.220.107.138:4022/rtp/239.11.0.54:5140
甘肃卫视,http://223.93.142.35:4022/rtp/233.50.200.163:5140
甘肃卫视,http://183.220.107.138:4022/rtp/239.11.0.55:5140
青海卫视,http://183.220.107.138:4022/rtp/239.11.0.56:5140
新疆卫视,http://223.93.142.35:4022/rtp/233.50.202.46:5140
新疆卫视,http://171.122.196.44:8085/rtp/226.0.2.67:8448
新疆卫视,http://183.220.107.138:4022/rtp/239.11.0.58:5140
西藏卫视,http://223.93.142.35:4022/rtp/233.50.202.43:5140
西藏卫视,http://171.122.196.44:8085/rtp/226.0.2.66:8440
西藏卫视,http://183.220.107.138:4022/rtp/239.11.0.53:5140
三沙卫视,http://223.93.142.35:4022/rtp/233.50.200.175:5140
三沙卫视,http://115.171.216.84:4000/rtp/225.1.8.78:4120
三沙卫视,http://183.220.107.138:4022/rtp/239.10.0.116:5140
兵团卫视,http://223.93.142.35:4022/rtp/233.50.202.44:5140
兵团卫视,http://183.220.107.138:4022/rtp/239.11.0.204:5140
延边卫视,http://183.220.107.138:4022/rtp/239.11.0.206:5140
康巴卫视,http://183.220.107.138:4022/rtp/239.11.0.10:5140
山东教育卫视,http://183.220.107.138:4022/rtp/239.11.0.140:5140
