央视频道,#genre#
CCTV-4K,http://101.19.11.76:4000/rtp/239.253.93.134:6631$河北联通
CCTV-4K,http://101.19.11.76:4000/rtp/239.253.94.43:6468$河北联通
中央新影-中学生,http://101.19.11.76:4000/rtp/239.253.92.27:6106$河北联通
中央新影-老故事,http://101.19.11.76:4000/rtp/239.253.92.132:8068$河北联通
中央新影-发现之旅,http://101.19.11.76:4000/rtp/239.253.94.30:6629$河北联通
CGTN,http://101.19.11.76:4000/rtp/239.253.92.15:8011$河北联通
CGTN-纪录,http://101.19.11.76:4000/rtp/239.253.93.195:6373$河北联通
CGTN-法语,http://101.19.11.76:4000/rtp/239.253.93.197:6375$河北联通
CGTN-俄语,http://101.19.11.76:4000/rtp/239.253.93.199:6377$河北联通
CGTN-西班牙语,http://101.19.11.76:4000/rtp/239.253.93.196:6374$河北联通
CGTN-阿拉伯语,http://101.19.11.76:4000/rtp/239.253.93.198:6376$河北联通
中国教育1台,http://101.19.11.76:4000/rtp/239.253.92.211:6069$河北联通
中国教育2台,http://101.19.11.76:4000/rtp/239.253.92.108:6136$河北联通
中国教育4台,http://101.19.11.76:4000/rtp/239.253.92.200:6137$河北联通
早期教育,http://101.19.11.76:4000/rtp/239.253.93.164:6440$河北联通
早期教育,http://101.19.11.76:4000/rtp/239.253.92.39:6107$河北联通
CCTV-1综合,http://118.251.62.196:8888/udp/239.76.251.87:9000$湖南电信
CCTV-1综合,http://118.251.62.196:8888/udp/239.76.253.151:9000$湖南电信
CCTV-1综合,http://118.251.62.196:8888/udp/239.76.251.22:9000$湖南电信
CCTV-1综合,http://118.251.62.196:8888/udp/239.76.252.51:9000$湖南电信
CCTV-1综合,http://118.251.62.196:8888/udp/239.76.246.151:1234$湖南电信
CCTV-2财经,http://118.251.62.196:8888/udp/239.76.253.152:9000$湖南电信
CCTV-2财经,http://118.251.62.196:8888/udp/239.76.251.23:9000$湖南电信
CCTV-2财经,http://118.251.62.196:8888/udp/239.76.252.52:9000$湖南电信
CCTV-2财经,http://118.251.62.196:8888/udp/239.76.246.152:1234$湖南电信
CCTV-3综艺,http://118.251.62.196:8888/udp/239.76.253.153:9000$湖南电信
CCTV-3综艺,http://118.251.62.196:8888/udp/239.76.251.24:9000$湖南电信
CCTV-3综艺,http://118.251.62.196:8888/udp/239.76.252.53:9000$湖南电信
CCTV-3综艺,http://118.251.62.196:8888/udp/239.76.246.153:1234$湖南电信
CCTV-4中文国际,http://118.251.62.196:8888/udp/239.76.253.154:9000$湖南电信
CCTV-4中文国际,http://118.251.62.196:8888/udp/239.76.252.54:9000$湖南电信
CCTV-4中文国际,http://118.251.62.196:8888/udp/239.76.246.154:1234$湖南电信
CCTV-4中文国际,http://118.251.62.196:8888/udp/239.76.245.195:1234$湖南电信
CCTV-5体育,http://118.251.62.196:8888/udp/239.76.253.155:9000$湖南电信
CCTV-5体育,http://118.251.62.196:8888/udp/239.76.254.214:9000$湖南电信
CCTV-5体育,http://118.251.62.196:8888/udp/239.76.251.26:9000$湖南电信
CCTV-5体育,http://118.251.62.196:8888/udp/239.76.252.55:9000$湖南电信
CCTV-5体育,http://118.251.62.196:8888/udp/239.76.246.155:1234$湖南电信
CCTV-5+体育赛事,http://118.251.62.196:8888/udp/239.76.253.168:9000$湖南电信
CCTV-5+体育赛事,http://118.251.62.196:8888/udp/239.76.254.215:9000$湖南电信
CCTV-5+体育赛事,http://118.251.62.196:8888/udp/239.76.251.38:9000$湖南电信
CCTV-5+体育赛事,http://118.251.62.196:8888/udp/239.76.255.7:9000$湖南电信
CCTV-5+体育赛事,http://118.251.62.196:8888/udp/239.76.251.88:9000$湖南电信
CCTV-5+体育赛事,http://118.251.62.196:8888/udp/239.76.246.168:1234$湖南电信
CCTV-6电影,http://118.251.62.196:8888/udp/239.76.253.156:9000$湖南电信
CCTV-6电影,http://118.251.62.196:8888/udp/239.76.251.27:9000$湖南电信
CCTV-6电影,http://118.251.62.196:8888/udp/239.76.252.56:9000$湖南电信
CCTV-6电影,http://118.251.62.196:8888/udp/239.76.246.156:1234$湖南电信
CCTV-7国防军事,http://118.251.62.196:8888/udp/239.76.253.157:9000$湖南电信
CCTV-7国防军事,http://118.251.62.196:8888/udp/239.76.251.28:9000$湖南电信
CCTV-7国防军事,http://118.251.62.196:8888/udp/239.76.252.57:9000$湖南电信
CCTV-7国防军事,http://118.251.62.196:8888/udp/239.76.246.157:1234$湖南电信
CCTV-8电视剧,http://118.251.62.196:8888/udp/239.76.253.158:9000$湖南电信
CCTV-8电视剧,http://118.251.62.196:8888/udp/239.76.251.29:9000$湖南电信
CCTV-8电视剧,http://118.251.62.196:8888/udp/239.76.252.58:9000$湖南电信
CCTV-8电视剧,http://118.251.62.196:8888/udp/239.76.246.158:1234$湖南电信
CCTV-9纪录,http://118.251.62.196:8888/udp/239.76.253.159:9000$湖南电信
CCTV-9纪录,http://118.251.62.196:8888/udp/239.76.251.30:9000$湖南电信
CCTV-9纪录,http://118.251.62.196:8888/udp/239.76.252.59:9000$湖南电信
CCTV-9纪录,http://118.251.62.196:8888/udp/239.76.246.159:1234$湖南电信
CCTV-10科教,http://118.251.62.196:8888/udp/239.76.253.160:9000$湖南电信
CCTV-10科教,http://118.251.62.196:8888/udp/239.76.251.31:9000$湖南电信
CCTV-10科教,http://118.251.62.196:8888/udp/239.76.252.60:9000$湖南电信
CCTV-10科教,http://118.251.62.196:8888/udp/239.76.246.160:1234$湖南电信
CCTV-11戏曲,http://118.251.62.196:8888/udp/239.76.252.251:9000$湖南电信
CCTV-11戏曲,http://118.251.62.196:8888/udp/239.76.252.61:9000$湖南电信
CCTV-11戏曲,http://118.251.62.196:8888/udp/239.76.251.32:9000$湖南电信
CCTV-11戏曲,http://118.251.62.196:8888/udp/239.76.245.251:1234$湖南电信
CCTV-12社会与法,http://118.251.62.196:8888/udp/239.76.253.162:9000$湖南电信
CCTV-12社会与法,http://118.251.62.196:8888/udp/239.76.251.33:9000$湖南电信
CCTV-12社会与法,http://118.251.62.196:8888/udp/239.76.252.62:9000$湖南电信
CCTV-12社会与法,http://118.251.62.196:8888/udp/239.76.246.162:1234$湖南电信
CCTV-13新闻,http://118.251.62.196:8888/udp/239.76.253.93:9000$湖南电信
CCTV-13新闻,http://118.251.62.196:8888/udp/239.76.251.84:9000$湖南电信
CCTV-13新闻,http://118.251.62.196:8888/udp/239.76.252.63:9000$湖南电信
CCTV-13新闻,http://118.251.62.196:8888/udp/239.76.246.93:1234$湖南电信
CCTV-14少儿,http://118.251.62.196:8888/udp/239.76.253.164:9000$湖南电信
CCTV-14少儿,http://118.251.62.196:8888/udp/239.76.251.35:9000$湖南电信
CCTV-14少儿,http://118.251.62.196:8888/udp/239.76.252.64:9000$湖南电信
CCTV-14少儿,http://118.251.62.196:8888/udp/239.76.246.164:1234$湖南电信
CCTV-15音乐,http://118.251.62.196:8888/udp/239.76.252.252:9000$湖南电信
CCTV-15音乐,http://118.251.62.196:8888/udp/239.76.252.65:9000$湖南电信
CCTV-15音乐,http://118.251.62.196:8888/udp/239.76.251.36:9000$湖南电信
CCTV-15音乐,http://118.251.62.196:8888/udp/239.76.245.252:1234$湖南电信
CCTV-16奥林匹克,http://118.251.62.196:8888/udp/239.76.253.98:9000$湖南电信
CCTV-16奥林匹克,http://118.251.62.196:8888/udp/239.76.246.98:1234$湖南电信
CCTV-17农业农村,http://118.251.62.196:8888/udp/239.76.252.237:9000$湖南电信
CCTV-17农业农村,http://118.251.62.196:8888/udp/239.76.252.238:9000$湖南电信
CCTV-17农业农村,http://118.251.62.196:8888/udp/239.76.245.238:1234$湖南电信
CCTV-4欧洲,http://118.251.62.196:8888/udp/239.76.253.95:9000$湖南电信
CCTV-4欧洲,http://118.251.62.196:8888/udp/239.76.246.95:1234$湖南电信
CCTV-4美洲,http://118.251.62.196:8888/udp/239.76.253.96:9000$湖南电信
CCTV-4美洲,http://118.251.62.196:8888/udp/239.76.246.96:1234$湖南电信
CCTV-4K,http://118.251.62.196:8888/udp/239.76.253.214:9000$湖南电信
中央新影-中学生,http://118.251.62.196:8888/udp/239.76.254.27:9000$湖南电信
中央新影-老故事,http://118.251.62.196:8888/udp/239.76.253.76:9000$湖南电信
中央新影-老故事,http://118.251.62.196:8888/udp/239.76.246.76:1234$湖南电信
CGTN,http://118.251.62.196:8888/udp/239.76.251.37:9000$湖南电信
CGTN,http://118.251.62.196:8888/udp/239.76.252.66:9000$湖南电信
CGTN,http://118.251.62.196:8888/udp/239.76.245.67:1234$湖南电信
CGTN-纪录,http://118.251.62.196:8888/udp/239.76.252.67:9000$湖南电信
CGTN-纪录,http://118.251.62.196:8888/udp/239.76.245.66:1234$湖南电信
CGTN-法语,http://118.251.62.196:8888/udp/239.76.253.87:9000$湖南电信
CGTN-法语,http://118.251.62.196:8888/udp/239.76.246.87:1234$湖南电信
CGTN-俄语,http://118.251.62.196:8888/udp/239.76.253.86:9000$湖南电信
CGTN-俄语,http://118.251.62.196:8888/udp/239.76.246.86:1234$湖南电信
CGTN-西班牙语,http://118.251.62.196:8888/udp/239.76.253.88:9000$湖南电信
CGTN-西班牙语,http://118.251.62.196:8888/udp/239.76.246.88:1234$湖南电信
CGTN-阿拉伯语,http://118.251.62.196:8888/udp/239.76.253.97:9000$湖南电信
CGTN-阿拉伯语,http://118.251.62.196:8888/udp/239.76.246.97:1234$湖南电信
中国教育1台,http://118.251.62.196:8888/udp/239.76.252.192:9000$湖南电信
中国教育2台,http://118.251.62.196:8888/udp/239.76.252.253:9000$湖南电信
中国教育4台,http://118.251.62.196:8888/udp/239.76.252.254:9000$湖南电信
早期教育,http://118.251.62.196:8888/udp/239.76.254.202:9000$湖南电信
CCTV-1综合,http://115.171.80.52:1688/rtp/225.1.8.1:8008$北京电信
CCTV-1综合,http://115.171.80.52:1688/rtp/225.1.8.101:8080$北京电信
CCTV-2财经,http://115.171.80.52:1688/rtp/225.1.8.2:8084$北京电信
CCTV-2财经,http://115.171.80.52:1688/rtp/225.1.8.102:8004$北京电信
CCTV-3综艺,http://115.171.80.52:1688/rtp/225.1.8.88:8000$北京电信
CCTV-3综艺,http://115.171.80.52:1688/rtp/225.1.8.92:8000$北京电信
CCTV-4中文国际,http://115.171.80.52:1688/rtp/225.1.8.4:8092$北京电信
CCTV-4中文国际,http://115.171.80.52:1688/rtp/225.1.8.104:8216$北京电信
CCTV-5体育,http://115.171.80.52:1688/rtp/225.1.8.89:8000$北京电信
CCTV-5体育,http://115.171.80.52:1688/rtp/225.1.8.93:8000$北京电信
CCTV-5+体育赛事,http://115.171.80.52:1688/rtp/225.1.8.20:8004$北京电信
CCTV-6电影,http://115.171.80.52:1688/rtp/225.1.8.84:8000$北京电信
CCTV-6电影,http://115.171.80.52:1688/rtp/225.1.8.90:8000$北京电信
CCTV-7国防军事,http://115.171.80.52:1688/rtp/225.1.8.7:8104$北京电信
CCTV-7国防军事,http://115.171.80.52:1688/rtp/225.1.8.107:8024$北京电信
CCTV-8电视剧,http://115.171.80.52:1688/rtp/225.1.8.85:8000$北京电信
CCTV-8电视剧,http://115.171.80.52:1688/rtp/225.1.8.91:8000$北京电信
CCTV-9纪录,http://115.171.80.52:1688/rtp/225.1.8.9:8112$北京电信
CCTV-9纪录,http://115.171.80.52:1688/rtp/225.1.8.109:8032$北京电信
CCTV-10科教,http://115.171.80.52:1688/rtp/225.1.8.10:8116$北京电信
CCTV-10科教,http://115.171.80.52:1688/rtp/225.1.8.110:8228$北京电信
CCTV-11戏曲,http://115.171.80.52:1688/rtp/225.1.8.73:8120$北京电信
CCTV-11戏曲,http://115.171.80.52:1688/rtp/225.1.8.111:8040$北京电信
CCTV-12社会与法,http://115.171.80.52:1688/rtp/225.1.8.12:8124$北京电信
CCTV-12社会与法,http://115.171.80.52:1688/rtp/225.1.8.112:8232$北京电信
CCTV-13新闻,http://115.171.80.52:1688/rtp/225.1.8.168:8130$北京电信
CCTV-13新闻,http://115.171.80.52:1688/rtp/225.1.8.113:8264$北京电信
CCTV-13新闻,http://115.171.80.52:1688/rtp/225.1.1.10:8128$北京电信
CCTV-14少儿,http://115.171.80.52:1688/rtp/225.1.8.14:8132$北京电信
